LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,,DECEMBER 2024,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,June 2025,,,July 2025,,,August 2025,,,September 2025,,,October 2025,,,November 2025,,,December 2025,,
08-060-17-000,08-60-17-000,"Santa Rita, Samar",Santa Rita,Samar,Region VIII (Eastern Visayas),Municipality,3rd*,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/santaritasamar,https://prod.ebpls.com/santaritasamar,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-010-27-000,04-10-27-000,"Santa Teresita, Batangas",Santa Teresita,Batangas,Region IV-A (CALABARZON),Municipality,5th,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/santateresitabatangas,https://prod.ebpls.com/santateresitabatangas,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-25-000,02-15-25-000,"Santa Teresita, Cagayan",Santa Teresita,Cagayan,Region II (Cagayan Valley),Municipality,4th,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/santateresitacagayan,https://prod.ebpls.com/stateresitacagayan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-029-22-000,01-29-22-000,"Santa, Ilocos Sur",Santa,Ilocos Sur,Region I (Ilocos Region),Municipality,4th,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/santailocossur,https://prod.ebpls.com/santailocossur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-002-10-000,16-02-10-000,"Santiago, Agusan del Norte",Santiago,Agusan del Norte,Region XIII (Caraga),Municipality,4th,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/santiagoagusandelnorte,https://prod.ebpls.com/santiagoagusandelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-029-27-000,01-29-27-000,"Santiago, Ilocos Sur",Santiago,Ilocos Sur,Region I (Ilocos Region),Municipality,4th,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/santiagoilocossur,https://prod.ebpls.com/santiagoilocossur,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-005-16-000,05-05-16-000,"Santo Domingo, Albay",Santo Domingo,Albay,Region V (Bicol Region),Municipality,4th,R5,B,H,#REF!,#REF!,https://bpbc.ibpls.com/santodomingoalbay,https://prod.ebpls.com/santodomingoalbay,2022-02,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-029-28-000,01-29-28-000,"Santo Domingo, Ilocos Sur",Santo Domingo,Ilocos Sur,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/santodomingoilocossur,https://prod.ebpls.com/santodomingoilocossur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-049-29-000,03-49-29-000,"Santo Domingo, Nueva Ecija",Santo Domingo,Nueva Ecija,Region III (Central Luzon),Municipality,3rd,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/santodomingonuevaecija,https://prod.ebpls.com/stodomingonuevaecija/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-26-000,02-15-26-000,"Santo Niño, Cagayan",Santo Niño,Cagayan,Region II (Cagayan Valley),Municipality,2nd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/santoninocagayan,https://prod.ebpls.com/santoninocagayan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-063-18-000,12-63-18-000,"Santo Niño, South Cotabato",Santo Niño,South Cotabato,Region XII (SOCCSKSARGEN),Municipality,3rd,R12,B,Q,#REF!,#REF!,https://bpbc.ibpls.com/santoninosouthcotabato,https://prod.ebpls.com/santoninosouthcotabato,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,Scheduled a refresher training,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-031-36-000,02-31-36-000,"Santo Tomas, Isabela",Santo Tomas,Isabela,Region II (Cagayan Valley),Municipality,4th,R2,B,D,#REF!,#REF!,https://bpbc.ibpls.com/santotomasisabela,https://prod.ebpls.com/santotomasisabela,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-033-17-000,01-33-17-000,"Santo Tomas, La Union",Santo Tomas,La Union,Region I (Ilocos Region),Municipality,4th,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/santotomaslaunion,https://prod.ebpls.com/santotomaslaunion,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-40-000,01-55-40-000,"Santo Tomas, Pangasinan",Santo Tomas,Pangasinan,Region I (Ilocos Region),Municipality,5th,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/santotomaspangasinan,https://prod.ebpls.com/santotomaspangasinan,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-033-18-000,01-33-18-000,"Santol, La Union",Santol,La Union,Region I (Ilocos Region),Municipality,4th,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/santollaunion,https://prod.ebpls.com/santollaunion,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-042-13-000,10-42-13-000,"Sapang Dalaga, Misamis Occidental",Sapang Dalaga,Misamis Occidental,Region X (Northern Mindanao),Municipality,5th*,R10,B,N,#REF!,#REF!,https://bpbc.ibpls.com/sapangdalagamisamisoccidental,https://prod.ebpls.com/sapangdalagamisamisoccidental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-019-15-000,06-19-15-000,"Sapi-An, Capiz",Sapi-An,Capiz,Region VI (Western Visayas),Municipality,4th,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/sapiancapiz,https://prod.ebpls.com/sapiancapiz/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-44-000,06-30-44-000,"Sara, Iloilo",Sara,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/sarailoilo,https://prod.ebpls.com/sarailoilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-028-21-000,01-28-21-000,"Sarrat, Ilocos Norte",Sarrat,Ilocos Norte,Region I (Ilocos Region),Municipality,4th,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/sarratilocosnorte,https://prod.ebpls.com/sarratilocosnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-054-22-000,03-54-22-000,"Sasmuan, Pampanga",Sasmuan,Pampanga,Region III (Central Luzon),Municipality,4th,R3,B,E,#REF!,#REF!,https://bpbc.ibpls.com/sasmuanpampanga,https://prod.ebpls.com/sasmuanpampanga,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-006-15-000,06-06-15-000,"Sebaste, Antique",Sebaste,Antique,Region VI (Western Visayas),Municipality,4th,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/sebasteantique,https://prod.ebpls.com/sebasteantique/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-065-12-000,12-65-12-000,"Sen. Ninoy Aquino, Sultan Kudarat",Sen. Ninoy Aquino,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,3rd,R12,A,Q,#REF!,#REF!,https://bpbc.ibpls.com/senninoyaquinosultankudarat,https://prod.ebpls.com/senatorninoyaquinosultankudarat/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-012-39-000,07-12-39-000,"Sevilla, Bohol",Sevilla,Bohol,Region VII (Central Visayas),Municipality,5th,R7,B,J,#REF!,#REF!,https://bpbc.ibpls.com/sevillabohol,https://prod.ebpls.com/sevillabohol,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19-088-20-000,15-38-08-000,"Shariff Aguak, Maguindanao del Sur",Shariff Aguak,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,2nd,BARMM II,B,R,#REF!,#REF!,https://bpbc.ibpls.com/shariffaguakmaguindanaodelsur,https://prod.ebpls.com/shariffaguakmaguindanaodelsur,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-046-19-000,07-46-19-000,"Siaton, Negros Oriental",Siaton,Negros Oriental,Region VII (Central Visayas),Municipality,1st,R7,B,J,#REF!,#REF!,https://bpbc.ibpls.com/siatonnegrosoriental,https://prod.ebpls.com/siatonnegrosoriental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-083-13-000,09-83-13-000,"Siay, Zamboanga Sibugay",Siay,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,B,L,#REF!,#REF!,https://bpbc.ibpls.com/siayzamboangasibugay,https://prod.ebpls.com/siayzamboangasibugay/.php/login,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-072-15-000,09-72-15-000,"Siayan, Zamboanga del Norte",Siayan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,A,L,#REF!,#REF!,https://bpbc.ibpls.com/siayanzamboangadelnorte,https://prod.ebpls.com/siayanzamboangadelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-006-16-000,06-06-16-000,"Sibalom, Antique",Sibalom,Antique,Region VI (Western Visayas),Municipality,2nd,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/sibalomantique,https://prod.ebpls.com/sibalomantique/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-072-16-000,,"Sibuco, Zamboanga del Norte",Sibuco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,1st,R9,,L,,,https://bpbc.ibpls.com/sibucozamboangadelnorte,,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,Refresher Training conducted last August 2024,[6] With Concerns,[C] For Training/Others,Refresher Training conducted last August 2024,[6] With Concerns,[C] For Training/Others,Refresher Training conducted last August 2024,[7] To Follow-up,[C] For Training/Others,Refresher Training conducted last August 2024,[7] To Follow-up,[C] For Training/Others,Refresher Training conducted last August 2024,[7] To Follow-up,[C] For Training/Others,Refresher Training conducted last August 2024,[7] To Follow-up,[C] For Training/Others,Refresher Training conducted last August 2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-058-11-000,04-58-11-000,"San Mateo, Rizal",San Mateo,Rizal,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,#REF!,#REF!,,https://prod.ebpls.com/sanmateorizal,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-046-20-000,07-46-20-000,"Sibulan, Negros Oriental",Sibulan,Negros Oriental,Region VII (Central Visayas),Municipality,2nd,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/sibulannegrosoriental,https://prod.ebpls.com/sibulannegrosoriental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-072-17-000,09-72-17-000,"Sibutad, Zamboanga del Norte",Sibutad,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,5th,R9,A,L,#REF!,#REF!,https://bpbc.ibpls.com/sibutadzamboangadelnorte,https://prod.ebpls.com/sibutadzamboangadelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-064-16-000,08-64-16-000,"Silago, Southern Leyte",Silago,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/silagosouthernleyte,https://prod.ebpls.com/silagosouthernleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-042-14-000,10-42-14-000,"Sinacaban, Misamis Occidental",Sinacaban,Misamis Occidental,Region X (Northern Mindanao),Municipality,5th,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/sinacabanmisamisoccidental,https://prod.ebpls.com/sinacabanmisamisoccidental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-029-30-000,01-29-30-000,"Sinait, Ilocos Sur",Sinait,Ilocos Sur,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/sinaitilocossur,https://prod.ebpls.com/sinaitilocossur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-072-18-000,09-72-18-000,"Sindangan, Zamboanga del Norte",Sindangan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,1st,R9,A,L,#REF!,#REF!,https://bpbc.ibpls.com/sindanganzamboangadelnorte,https://prod.ebpls.com/sindanganzamboangadelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-034-29-000,04-34-29-000,"Siniloan, Laguna",Siniloan,Laguna,Region IV-A (CALABARZON),Municipality,2nd,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/siniloanlaguna,https://prod.ebpls.com/siniloanlaguna,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-072-19-000,09-72-19-000,"Siocon, Zamboanga del Norte",Siocon,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,1st,R9,B,L,#REF!,#REF!,https://bpbc.ibpls.com/sioconzamboangadelnorte,https://prod.ebpls.com/sioconzamboangadelnorte/,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-41-000,01-55-41-000,"Sison, Pangasinan",Sison,Pangasinan,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/sisonpangasinan,https://prod.ebpls.com/sisonpangasinan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-067-22-000,16-67-22-000,"Sison, Surigao del Norte",Sison,Surigao del Norte,Region XIII (Caraga),Municipality,5th,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/sisonsurigaodelnorte,https://prod.ebpls.com/sisonsurigaodelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-052-14-000,17-52-14-000,"Socorro, Oriental Mindoro",Socorro,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/socorroorientalmindoro,https://prod.ebpls.com/socorroorientalmindoro/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
