,ENGAGEMENT STATUS,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Sapang Dalaga, Misamis Occidental",,,,,10-042-13-000,10-42-13-000,Sapang Dalaga,Misamis Occidental,Region X (Northern Mindanao),Municipality,5th*,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alcantara, Romblon",,,,,17-059-01-000,17-59-01-000,Alcantara,Romblon,MIMAROPA Region,Municipality,5th,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bulalacao, Oriental Mindoro",,,,,17-052-04-000,17-52-04-000,Bulalacao,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Fe, Romblon",,,,,17-059-15-000,17-59-15-000,Santa Fe,Romblon,MIMAROPA Region,Municipality,5th,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Maasin, Iloilo",,,,,06-030-29-000,06-30-29-000,Maasin,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mina, Iloilo",,,,,06-030-31-000,06-30-31-000,Mina,Iloilo,Region VI (Western Visayas),Municipality,5th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pototan, Iloilo",,,,,06-030-37-000,06-30-37-000,Pototan,Iloilo,Region VI (Western Visayas),Municipality,1st,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Socorro, Surigao del Norte",,,,,16-067-23-000,16-67-23-000,Socorro,Surigao del Norte,Region XIII (Caraga),Municipality,4th,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tubod, Surigao del Norte",,,,,16-067-27-000,16-67-27-000,Tubod,Surigao del Norte,Region XIII (Caraga),Municipality,5th,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Guiuan, Eastern Samar",,,,,08-026-09-000,08-26-09-000,Guiuan,Eastern Samar,Region VIII (Eastern Visayas),Municipality,2nd,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alcoy, Cebu",,,,,07-022-02-000,07-22-02-000,Alcoy,Cebu,Region VII (Central Visayas),Municipality,5th,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tudela, Cebu",,,,,07-022-53-000,07-22-53-000,Tudela,Cebu,Region VII (Central Visayas),Municipality,5th,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Jose, Negros Oriental",,,,,07-046-17-000,07-46-17-000,San Jose,Negros Oriental,Region VII (Central Visayas),Municipality,5th,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mabinay, Negros Oriental",,,,,07-046-14-000,07-46-14-000,Mabinay,Negros Oriental,Region VII (Central Visayas),Municipality,1st,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sultan Naga Dimaporo, Lanao del Norte",,,,,10-035-06-000,10-35-06-000,Sultan Naga Dimaporo,Lanao del Norte,Region X (Northern Mindanao),Municipality,3rd,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mainit, Surigao del Norte",,,,,16-067-14-000,16-67-14-000,Mainit,Surigao del Norte,Region XIII (Caraga),Municipality,4th,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cagdianao, Dinagat Islands",,,,,16-085-02-000,16-85-02-000,Cagdianao,Dinagat Islands,Region XIII (Caraga),Municipality,3rd,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Iloilo, Iloilo",,,,,06-310-00-000,06-30-22-000,City of Iloilo,Iloilo,Region VI (Western Visayas),City,1st,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Remigio, Antique",,,,,06-006-14-000,06-06-14-000,San Remigio,Antique,Region VI (Western Visayas),Municipality,3rd,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tapaz, Capiz",,,,,06-019-17-000,06-19-17-000,Tapaz,Capiz,Region VI (Western Visayas),Municipality,1st,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Zarraga, Iloilo",,,,,06-030-47-000,06-30-47-000,Zarraga,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Basay, Negros Oriental",,,,,07-046-05-000,07-46-05-000,Basay,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Vicente, Palawan",,,,,17-053-19-000,17-53-19-000,San Vicente,Palawan,MIMAROPA Region,Municipality,1st,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Hinoba-an, Negros Occidental",,,,,06-045-12-000,06-45-12-000,Hinoba-an,Negros Occidental,Region VI (Western Visayas),Municipality,1st,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lugait, Misamis Oriental",,,,,10-043-16-000,10-43-16-000,Lugait,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Opol, Misamis Oriental",,,,,10-043-21-000,10-43-21-000,Opol,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sugbongcogon, Misamis Oriental",,,,,10-043-23-000,10-43-23-000,Sugbongcogon,Misamis Oriental,Region X (Northern Mindanao),Municipality,5th,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Villanueva, Misamis Oriental",,,,,10-043-26-000,10-43-26-000,Villanueva,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Magsaysay, Misamis Oriental",,,,,10-043-17-000,10-43-17-000,Magsaysay,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Jimenez, Misamis Occidental",,,,,10-042-07-000,10-42-07-000,Jimenez,Misamis Occidental,Region X (Northern Mindanao),Municipality,3rd,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Impasug-ong, Bukidnon",,,,,10-013-05-000,10-13-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),Municipality,1st,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Talisayan, Misamis Oriental",,,,,10-043-25-000,10-43-25-000,Talisayan,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balingasag, Misamis Oriental",,,,,10-043-02-000,10-43-02-000,Balingasag,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bauko, Mountain Province",,,,,14-044-02-000,14-44-02-000,Bauko,Mountain Province,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mankayan, Benguet",,,,,14-011-11-000,14-11-11-000,Mankayan,Benguet,Cordillera Administrative Region (CAR),Municipality,1st,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Marcela, Apayao",,,,,14-081-07-000,14-81-07-000,Santa Marcela,Apayao,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tayum, Abra",,,,,14-001-24-000,14-01-24-000,Tayum,Abra,Cordillera Administrative Region (CAR),Municipality,5th,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aglipay, Quirino",,,,,02-057-01-000,02-57-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alfonso Castaneda, Nueva Vizcaya",,,,,02-050-15-000,02-50-15-000,Alfonso Castaneda,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alicia, Isabela",,,,,02-031-01-000,02-31-01-000,Alicia,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Ambaguio, Nueva Vizcaya",,,,,02-050-01-000,02-50-01-000,Ambaguio,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,5th,R2,B,D,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Amulung, Cagayan",,,,,02-015-04-000,02-15-04-000,Amulung,Cagayan,Region II (Cagayan Valley),Municipality,2nd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aritao, Nueva Vizcaya",,,,,02-050-02-000,02-50-02-000,Aritao,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,2nd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Burgos, Isabela",,,,,02-031-05-000,02-31-05-000,Burgos,Isabela,Region II (Cagayan Valley),Municipality,4th,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cabarroguis, Quirino",,,,,02-057-02-000,02-57-02-000,Cabarroguis,Quirino,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dinapigue, Isabela",,,,,02-031-10-000,02-31-10-000,Dinapigue,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Divilacan, Isabela",,,,,02-031-11-000,02-31-11-000,Divilacan,Isabela,Region II (Cagayan Valley),Municipality,2nd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dupax del Norte, Nueva Vizcaya",,,,,02-050-07-000,02-50-07-000,Dupax del Norte,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Echague, Isabela",,,,,02-031-12-000,02-31-12-000,Echague,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Enrile, Cagayan",,,,,02-015-12-000,02-15-12-000,Enrile,Cagayan,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kasibu, Nueva Vizcaya",,,,,02-050-09-000,02-50-09-000,Kasibu,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kayapa, Nueva Vizcaya",,,,,02-050-10-000,02-50-10-000,Kayapa,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
