,,,,,,LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,DECEMBER 2024,,,JANUARY 2025,,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"San Vicente, Palawan",,,,,,17-053-19-000,17-53-19-000,"San Vicente, Palawan",San Vicente,Palawan,MIMAROPA Region,Municipality,1st,R4B,A,G,2021,https://bldg.ibpls.com/sanvicentepalawan/,https://co.ibpls.com/sanvicentepalawan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Banton, Romblon",,,,,,17-059-02-000,17-59-02-000,"Banton, Romblon",Banton,Romblon,MIMAROPA Region,Municipality,5th,R4B,B,G,2021,https://bldg.ibpls.com/bantonromblon/,https://co.ibpls.com/bantonromblon/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Looc, Romblon",,,,,,17-059-07-000,17-59-07-000,"Looc, Romblon",Looc,Romblon,MIMAROPA Region,Municipality,4th,R4B,A,G,2022,https://bldg.ibpls.com/loocromblon/,https://co.ibpls.com/loocromblon/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Ferrol, Romblon",,,,,,17-059-16-000,17-59-16-000,"Ferrol, Romblon",Ferrol,Romblon,MIMAROPA Region,Municipality,6th,R4B,A,G,2022,https://bldg.ibpls.com/ferrolromblon/,https://co.ibpls.com/ferrolromblon/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Rizal, Occidental Mindoro",,,,,,17-051-08-000,17-51-08-000,"Rizal, Occidental Mindoro",Rizal,Occidental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,2023,https://bldg.ibpls.com/rizaloccidentalmindoro/,https://co.ibpls.com/rizaloccidentalmindoro/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tiwi, Albay",,,,,,05-005-18-000,05-05-18-000,"Tiwi, Albay",Tiwi,Albay,Region V (Bicol Region),Municipality,1st,R5,B,H,2021,https://bldg.ibpls.com/tiwialbay,https://co.ibpls.com/tiwialbay,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Capalonga, Camarines Norte",,,,,,05-016-02-000,05-16-02-000,"Capalonga, Camarines Norte",Capalonga,Camarines Norte,Region V (Bicol Region),Municipality,3rd,R5,B,H,2021,https://bldg.ibpls.com/capalongacamarinesnorte,https://co.ibpls.com/capalongacamarinesnorte,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Jose Panganiban, Camarines Norte",,,,,,05-016-05-000,05-16-05-000,"Jose Panganiban, Camarines Norte",Jose Panganiban,Camarines Norte,Region V (Bicol Region),Municipality,2nd,R5,B,H,2022,https://bldg.ibpls.com/josepanganibancamarinesnorte/,https://co.ibpls.com/josepanganibancamarinesnorte/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Labo, Camarines Norte",,,,,,05-016-06-000,05-16-06-000,"Labo, Camarines Norte",Labo,Camarines Norte,Region V (Bicol Region),Municipality,1st,R5,B,H,2021,https://bldg.ibpls.com/labocamarinesnorte,https://co.ibpls.com/labocamarinesnorte,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mercedes, Camarines Norte",,,,,,05-016-07-000,05-16-07-000,"Mercedes, Camarines Norte",Mercedes,Camarines Norte,Region V (Bicol Region),Municipality,2nd,R5,B,H,2021,https://bldg.ibpls.com/mercedescamarinesnorte,https://co.ibpls.com/mercedescamarinesnorte,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Talisay, Camarines Norte",,,,,,05-016-11-000,05-16-11-000,"Talisay, Camarines Norte",Talisay,Camarines Norte,Region V (Bicol Region),Municipality,4th,R5,A,H,2021,https://bldg.ibpls.com/talisaycamarinesnorte/,https://co.ibpls.com/talisaycamarinesnorte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Vinzons, Camarines Norte",,,,,,05-016-12-000,05-16-12-000,"Vinzons, Camarines Norte",Vinzons,Camarines Norte,Region V (Bicol Region),Municipality,3rd,R5,B,H,2021,https://bldg.ibpls.com/vinzonscamarinesnorte,https://co.ibpls.com/vinzonscamarinesnorte,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Virac, Catanduanes",,,,,,05-020-11-000,05-20-11-000,"Virac, Catanduanes",Virac,Catanduanes,Region V (Bicol Region),Municipality,1st,R5,B,H,2021,https://bldg.ibpls.com/viraccatanduanes,https://co.ibpls.com/viraccatanduanes,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Barcelona, Sorsogon",,,,,,05-062-02-000,05-62-02-000,"Barcelona, Sorsogon",Barcelona,Sorsogon,Region V (Bicol Region),Municipality,5th,R5,B,H,2021,https://bldg.ibpls.com/barcelonasorsogon,https://co.ibpls.com/barcelonasorsogon,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alimodian, Iloilo",,,,,,06-030-02-000,06-30-02-000,"Alimodian, Iloilo",Alimodian,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,B,I,2022,https://bldg.ibpls.com/alimodianiloilo/,https://co.ibpls.com/alimodianiloilo/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Anilao, Iloilo",,,,,,06-030-03-000,06-30-03-000,"Anilao, Iloilo",Anilao,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,B,I,2022,https://bldg.ibpls.com/anilaoiloilo/login,https://co.ibpls.com/anilaoiloilo/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balasan, Iloilo",,,,,,06-030-05-000,06-30-05-000,"Balasan, Iloilo",Balasan,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,B,I,2023,https://bldg.ibpls.com/balasaniloilo/,https://co.ibpls.com/balasaniloilo/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Barbaza, Antique",,,,,,06-006-02-000,06-06-02-000,"Barbaza, Antique",Barbaza,Antique,Region VI (Western Visayas),Municipality,4th,R6,B,I,2021,https://bldg.ibpls.com/barbazaantique/,https://co.ibpls.com/barbazaantique/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Barotac Nuevo, Iloilo",,,,,,06-030-07-000,06-30-07-000,"Barotac Nuevo, Iloilo",Barotac Nuevo,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,B,I,2022,https://bldg.ibpls.com/barotacnuevoiloilo/,https://co.ibpls.com/barotacnuevoiloilo/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Barotac Viejo, Iloilo",,,,,,06-030-08-000,06-30-08-000,"Barotac Viejo, Iloilo",Barotac Viejo,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,B,I,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bingawan, Iloilo",,,,,,06-030-10-000,06-30-10-000,"Bingawan, Iloilo",Bingawan,Iloilo,Region VI (Western Visayas),Municipality,5th,R6,B,I,2022,https://bldg.ibpls.com/bingawaniloilo/,https://co.ibpls.com/bingawaniloilo/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Buenavista, Guimaras",,,,,,06-079-01-000,06-79-01-000,"Buenavista, Guimaras",Buenavista,Guimaras,Region VI (Western Visayas),Municipality,2nd,R6,B,I,2022,https://bldg.ibpls.com/buenavistaguimaras/,https://co.ibpls.com/buenavistaguimaras/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bugasong, Antique",,,,,,06-006-04-000,06-06-04-000,"Bugasong, Antique",Bugasong,Antique,Region VI (Western Visayas),Municipality,3rd,R6,A,I,2021,https://bldg.ibpls.com/bugasongantique/,https://co.ibpls.com/bugasongantique/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cabatuan, Iloilo",,,,,,06-030-12-000,06-30-12-000,"Cabatuan, Iloilo",Cabatuan,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,B,I,2022,https://bldg.ibpls.com/cabatuaniloilo/,https://co.ibpls.com/cabatuaniloilo/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Calinog, Iloilo",,,,,,06-030-13-000,06-30-13-000,"Calinog, Iloilo",Calinog,Iloilo,Region VI (Western Visayas),Municipality,1st,R6,A,I,2022,https://bldg.ibpls.com/calinogiloilo/,https://co.ibpls.com/calinogiloilo/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Bacolod, Negros Occidental",,,,,,06-302-00-000,06-45-01-000,"City of Bacolod, Negros Occidental",City of Bacolod,Negros Occidental,Region VI (Western Visayas),City,1st,R6,A,I,2022,https://bldg.ibpls.com/bacolodnegrosoccidental/,https://co.ibpls.com/bacolodnegrosoccidental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Kabankalan, Negros Occidental",,,,,,06-045-15-000,06-45-15-000,"City of Kabankalan, Negros Occidental",City of Kabankalan,Negros Occidental,Region VI (Western Visayas),City,1st,R6,B,I,2023,https://bldg.ibpls.com/kabankalannegrosoccidental/,https://co.ibpls.com/kabankalannegrosoccidental/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Concepcion, Iloilo",,,,,,06-030-15-000,06-30-15-000,"Concepcion, Iloilo",Concepcion,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,B,I,2023,https://bldg.ibpls.com/concepcioniloilo,https://co.ibpls.com/concepcioniloilo,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dingle, Iloilo",,,,,,06-030-16-000,06-30-16-000,"Dingle, Iloilo",Dingle,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,A,I,2021,https://bldg.ibpls.com/dingleiloilo/,https://co.ibpls.com/dingleiloilo/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Hinigaran, Negros Occidental",,,,,,06-045-11-000,06-45-11-000,"Hinigaran, Negros Occidental",Hinigaran,Negros Occidental,Region VI (Western Visayas),Municipality,1st,R6,B,I,2022,https://bldg.ibpls.com/hinigarannegrosoccidental/,https://co.ibpls.com/hinigarannegrosoccidental/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Janiuay, Iloilo",,,,,,06-030-23-000,06-30-23-000,"Janiuay, Iloilo",Janiuay,Iloilo,Region VI (Western Visayas),Municipality,1st,R6,B,I,2022,https://bldg.ibpls.com/janiuayiloilo/,https://co.ibpls.com/janiuayiloilo/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lambunao, Iloilo",,,,,,06-030-25-000,06-30-25-000,"Lambunao, Iloilo",Lambunao,Iloilo,Region VI (Western Visayas),Municipality,1st,R6,B,I,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Laua-An, Antique",,,,,,06-006-09-000,06-06-09-000,"Laua-An, Antique",Laua-An,Antique,Region VI (Western Visayas),Municipality,4th,R6,A,I,2021,https://bldg.ibpls.com/lauaanantique/,https://co.ibpls.com/lauaanantique/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Libertad, Antique",,,,,,06-006-10-000,06-06-10-000,"Libertad, Antique",Libertad,Antique,Region VI (Western Visayas),Municipality,5th,R6,A,I,2021,https://bldg.ibpls.com/libertadantique/,https://co.ibpls.com/libertadantique/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Manapla, Negros Occidental",,,,,,06-045-18-000,06-45-18-000,"Manapla, Negros Occidental",Manapla,Negros Occidental,Region VI (Western Visayas),Municipality,2nd,R6,B,I,2022,https://bldg.ibpls.com/manaplanegrosoccidental/,https://co.ibpls.com/manaplanegrosoccidental/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Miagao, Iloilo",,,,,,06-030-30-000,06-30-30-000,"Miagao, Iloilo",Miagao,Iloilo,Region VI (Western Visayas),Municipality,1st,R6,B,I,2022,NO INSTANCE,NO INSTANCE,2023-01,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mina, Iloilo",,,,,,06-030-31-000,06-30-31-000,"Mina, Iloilo",Mina,Iloilo,Region VI (Western Visayas),Municipality,5th,R6,A,I,2022,https://bldg.ibpls.com/minailoilo/,https://co.ibpls.com/minailoilo/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Moises Padilla, Negros Occidental",,,,,,06-045-19-000,06-45-19-000,"Moises Padilla, Negros Occidental",Moises Padilla,Negros Occidental,Region VI (Western Visayas),Municipality,3rd,R6,B,I,2022,https://bldg.ibpls.com/moisespadillanegrosoccidental/,https://co.ibpls.com/moisespadillanegrosoccidental/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"New Lucena, Iloilo",,,,,,06-030-32-000,06-30-32-000,"New Lucena, Iloilo",New Lucena,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,B,I,2022,https://bldg.ibpls.com/newlucenailoilo/,https://co.ibpls.com/newlucenailoilo/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"New Washington, Aklan",,,,,,06-004-15-000,06-04-15-000,"New Washington, Aklan",New Washington,Aklan,Region VI (Western Visayas),Municipality,3rd,R6,A,I,2021,https://bldg.ibpls.com/newwashingtonaklan/,https://co.ibpls.com/newwashingtonaklan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
